username,userId,entryTitle,entryTitleId,entryId,entry,entryDate
almashan,1362151,cevizlibağ'daki haylayf kokusu,1577810,71232343,ordan geçerken aaa ne güzel kokuyor ohh mis denilen ama 1 gün boyunca kokladığında kusturan koku,07.10.2017 11:30
almashan,1362151,büyük türk imparatorluğunun gümbür gümbür gelmesi,5467346,71222474,kalk lan yerine yat,06.10.2017 21:39
almashan,1362151,6 ekim 2017 türkiye izlanda maçı,4866763,71222357,tarihi bir skor bekliyorum bu maçtan,06.10.2017 21:33
almashan,1362151,29 eylül 2017 alper potuk'un gördüğü kırmızı kart,5463095,71105004,hakemlerden ağlayacağınıza çuvaldızı azize bir batırın bu adam fenerin başında olduğu sürece size futbolda başarı yok bunu çok iyi biliyorsunuz. 1 hafta önce ne kadar objektifdinizde şimdi beşiktaşlılardan galatasaraylılardan bekliyorsunuz. alperin pozisyonu haricinde tartışılabilecek hiç birşey yok maçta o da tartışmaya açık bence hakkı sarıydı hakem hatalıydı ama bu pozisyona sığınıp takımınızı aklayamazsınız. kaleye bir tane isabetli şutunuz var lan rezillik resmen ceza sahasına giremediniz nerdeyse geçen hafta beşiktaş karşısında öve öve bitiremediğiniz o takım nerde. öbür taraftan bakıyosunuz “top oynatmadığınız” beşiktaş 3 gün sonra gidip şampiyonlar liginde leipzig’i vodafone arenaya gömüp 2 de 2 yaptı. şimdi futboldan konuşacaksak herşey ortada bizim beşiktaş olarak ağlayacak bir durumumuz yok ligde 3 puan gerideyiz ş.liginde lideriz. ağlamak hakkınız ama burda bize ağlamayın gidip önce azizi indirin koltuğundan ali koç gelsin takımı toparlasın lige de biraz heyecan getirirsiniz her sene sahanızda bizi yenmekle avunmak sizi bir yere götürmez.,30.09.2017 19:40
almashan,1362151,teog yerine klasik sınava geçilmesi,5462841,71086814,"uzun zamandır bu hükümetin aldığı kararlarla ilgili yorum yapmıyorum ne sözlükte ne de çevremde. o kadar bariz ki herşey konuşması, tartışması ciddi anlamda sinirlerimi bozuyor. boş geliyor bana artık o kadar absürt bir ülkede o kadar saçma bir düzenin içindeyiz ki sanki başka bir boyutta başka bir paralel evrende gibiyim. alacakaranlık kuşağı gibi amk. ülkede cinayetler, tecavüzler, hırsızlık, aymazlık, yüzsüzlük, cahillik git gide artıyor bir kriz bitiyor başka kriz başlıyor. yaşamak bildiğin lüks oldu ülkede zamların biri bitiyor biri başlıyor, alınan aylık maaşların yüzde 60-70 leri vergilere gidiyor kalan kısmı ise hayat pahalılığından eriyip bitiyor. kendini, aileni ve geleceğini düşünmekten oturup ülkede ne oluyor amk diye endişelenmeye zaman kalmıyor ki. görmüyor musunuz haberlerde daha bugün denk geldi bir teknoloji firmasının indirim gününde oluşan izdihamı, işte böyle aç bir toplum yarattılar böyle aptalcasına aç. öyle aç ve bencil ki kendini bilmeyecek, insanlığını unutturacak cinsten.fetösü, pkk sı, işid ine girmiyorum bile ulan iyiye giden tek şey yok ya her gün endişelenecek yeni bir şey çıkıyor bir bırakın artık lan bir huzur verin amk. bizim hayatımızı siktiniz attınız bari çocuklarımızın geleceğine dokunmayın ama yoook. bu ülkenin bir geleceği yok zaten ufak bir umut varsada git gide bitiyor, yok ediyorlar. yayında ve yapımda emeği geçen herkesin allah bin belasını versin. ne yazık ki ben çocuğumun geleceğini bu ülkeye teslim edemem, bu insanlara teslim edemem. uzun zamandır kendime bu fırsatı yaratmaya çalışıyorum az kaldı planım işliyor. bunda sonra akıllı olan insanların yapacağı da budur çünkü bu ülkede onlara hayat yok.",29.09.2017 19:55
almashan,1362151,bordroya baktıkça sinir krizi geçirmek,5462427,71069700,maaşının %60 ı devlete vergi olarak kesilen biri olarak +1 diyorum ve arttırıyorum haram zıkkım olsun.,28.09.2017 21:35
almashan,1362151,26 eylül 2017 beşiktaş rb leipzig maçı,5440573,71031600,ahahahahah ne güldüm bugün ya tosic sen yokmusun,26.09.2017 23:41
almashan,1362151,26 eylül 2017 beşiktaş rb leipzig maçı,5440573,71031149,"lensle, tolgayı al artık gol yememizi mi bekliyosun amk anlamadım ki",26.09.2017 23:22
almashan,1362151,26 eylül 2017 beşiktaş rb leipzig maçı,5440573,71029387,ahahahahahahahahahahahaha,26.09.2017 22:29
almashan,1362151,eğitimde türkiye'ye çağ atlattık,5460372,71021631,(bkz: eğitim çağında türkiyeye atladık),26.09.2017 15:17
